endpoint_id,customer_id,endpoint_url_type,expected_signature_version,avg_success_rate,rate_limit_per_minute,active,last_config_change_at
EP_0027,CUST_0078,https_private,v3,0.525,30,True,2024-04-14T17:18:06Z
EP_0028,CUST_0052,webhook_site,v2,0.783,10,True,2024-03-26T01:41:39Z
EP_0029,CUST_0032,webhook_site,v1,0.599,100,True,2024-04-24T05:43:02Z
EP_0030,CUST_0029,https_private,v1,0.212,10,False,2024-01-12T10:22:17Z
EP_0031,CUST_0043,ngrok,v1,0.071,100,False,2024-05-09T21:39:44Z
EP_0032,CUST_0017,ngrok,v1,0.921,60,True,2024-04-21T21:20:27Z
EP_0033,CUST_0053,http_internal,v2,0.457,60,True,2024-03-24T16:50:38Z
EP_0034,CUST_0060,https_public,v1,0.432,60,True,2024-05-06T21:19:23Z
EP_0035,CUST_0044,https_private,v3,0.464,60,True,2024-02-07T04:52:28Z
EP_0036,CUST_0018,https_public,v2,0.564,100,True,2024-02-18T12:10:56Z
EP_0037,CUST_0013,https_public,v1,0.3,20,False,2024-06-11T08:10:15Z
EP_0038,CUST_0022,ngrok,v1,0.684,20,True,2024-06-16T21:33:46Z
EP_0039,CUST_0049,ngrok,v2,0.117,60,False,2024-06-28T21:53:13Z
EP_0040,CUST_0072,http_internal,v1,0.687,10,True,2024-02-06T20:59:17Z
EP_0041,CUST_0075,https_public,v1,0.436,100,True,2024-03-01T21:30:15Z
EP_0042,CUST_0062,https_public,v3,0.903,10,True,2024-01-31T13:41:22Z
EP_0043,CUST_0024,https_private,v2,0.02,10,False,2024-06-16T08:22:06Z
EP_0044,CUST_0073,https_public,v2,0.751,200,True,2024-04-30T06:31:37Z
EP_0045,CUST_0075,https_private,v3,0.587,200,True,2024-02-20T15:15:22Z
EP_0046,CUST_0041,http_internal,v2,0.634,30,True,2024-05-10T10:18:11Z
EP_0047,CUST_0010,https_public,v1,0.186,100,False,2024-04-19T07:44:25Z
EP_0048,CUST_0028,https_public,v1,0.478,30,True,2024-03-08T18:29:56Z
EP_0049,CUST_0037,http_internal,v3,0.892,200,True,2024-05-16T14:44:01Z
EP_0050,CUST_0068,https_public,v1,0.245,30,False,2024-02-28T03:12:21Z
EP_0051,CUST_0015,http_internal,v2,0.838,100,True,2024-01-31T04:26:23Z
EP_0052,CUST_0027,http_internal,v3,0.52,60,True,2024-05-03T03:45:47Z
EP_0053,CUST_0033,ngrok,v2,0.899,10,True,2024-01-18T22:08:31Z
EP_0054,CUST_0001,https_private,v3,0.477,60,True,2024-02-20T20:48:00Z
EP_0055,CUST_0071,https_public,v3,0.731,20,True,2024-01-22T17:22:12Z
EP_0056,CUST_0070,https_private,v2,0.111,20,False,2024-04-17T06:57:12Z
EP_0057,CUST_0006,https_public,v2,0.93,20,True,2024-06-03T14:11:55Z
EP_0058,CUST_0032,ngrok,v3,0.609,200,True,2024-04-18T17:14:46Z
EP_0059,CUST_0020,https_private,v2,0.54,10,True,2024-02-01T13:18:47Z
EP_0060,CUST_0023,ngrok,v3,0.596,200,True,2024-06-29T17:54:59Z
EP_0061,CUST_0032,ngrok,v1,0.865,60,True,2024-01-21T23:45:43Z
EP_0062,CUST_0029,http_internal,v1,0.942,20,True,2024-03-08T21:31:34Z
EP_0063,CUST_0004,https_public,v2,0.635,30,True,2024-02-24T02:23:03Z
EP_0064,CUST_0066,http_internal,v1,0.979,10,True,2024-04-14T02:56:47Z
EP_0065,CUST_0034,https_public,v1,0.968,100,True,2024-02-21T13:09:46Z
EP_0066,CUST_0056,webhook_site,v3,0.864,10,True,2024-03-25T17:44:34Z
EP_0067,CUST_0050,ngrok,v1,0.512,100,True,2024-01-09T14:51:22Z
EP_0068,CUST_0069,https_private,v2,0.955,60,True,2024-05-23T02:50:40Z
EP_0069,CUST_0009,http_internal,v3,0.943,10,True,2024-05-01T00:06:52Z
EP_0070,CUST_0039,ngrok,v3,0.793,30,True,2024-03-04T08:07:21Z
EP_0071,CUST_0071,https_private,v3,0.648,100,True,2024-03-14T14:56:42Z
EP_0072,CUST_0039,http_internal,v1,0.892,60,True,2024-02-29T00:09:35Z
EP_0073,CUST_0075,ngrok,v3,0.59,20,True,2024-03-26T18:52:19Z
EP_0074,CUST_0066,https_private,v3,0.932,10,True,2024-06-03T13:44:39Z
EP_0075,CUST_0037,https_public,v1,0.773,200,True,2024-03-06T02:05:25Z
EP_0076,CUST_0040,https_public,v1,0.517,60,True,2024-01-05T17:49:50Z
EP_0077,CUST_0079,webhook_site,v1,0.443,200,True,2024-03-21T11:26:06Z
EP_0078,CUST_0050,https_public,v1,0.544,60,True,2024-05-07T09:27:06Z
EP_0079,CUST_0029,ngrok,v1,0.965,100,True,2024-04-10T13:51:29Z
EP_0080,CUST_0032,ngrok,v3,0.472,100,True,2024-01-26T21:24:18Z
EP_0081,CUST_0072,ngrok,v3,0.961,200,True,2024-06-22T02:20:45Z
EP_0082,CUST_0065,https_private,v3,0.935,60,True,2024-03-27T14:06:28Z
EP_0083,CUST_0058,http_internal,v3,0.546,60,True,2024-05-03T19:43:03Z
EP_0084,CUST_0031,https_private,v2,0.446,30,True,2024-02-25T11:35:22Z
EP_0085,CUST_0041,https_private,v2,0.448,200,True,2024-01-30T06:55:18Z
EP_0086,CUST_0020,http_internal,v3,0.438,60,True,2024-03-20T03:33:02Z
EP_0087,CUST_0054,webhook_site,v3,0.25,10,False,2024-03-16T15:05:36Z
EP_0088,CUST_0074,http_internal,v2,0.403,60,True,2024-03-09T07:18:53Z
EP_0089,CUST_0069,https_private,v2,0.722,20,True,2024-04-27T03:21:38Z
EP_0090,CUST_0035,ngrok,v3,0.417,20,True,2024-03-06T06:28:37Z
EP_0091,CUST_0060,https_public,v2,0.979,100,True,2024-04-13T17:11:47Z
EP_0092,CUST_0073,https_private,v2,0.45,20,True,2024-03-24T05:28:49Z
EP_0093,CUST_0007,http_internal,v2,0.593,60,True,2024-03-29T07:03:08Z
EP_0094,CUST_0036,https_public,v2,0.891,10,True,2024-02-18T23:40:13Z
EP_0095,CUST_0070,https_public,v3,0.286,10,False,2024-02-13T12:57:03Z
EP_0096,CUST_0004,webhook_site,v1,0.518,20,True,2024-01-04T22:58:39Z
EP_0097,CUST_0017,ngrok,v3,0.467,30,True,2024-02-12T07:47:18Z
EP_0098,CUST_0048,https_public,v1,0.758,30,True,2024-05-25T05:35:10Z
EP_0099,CUST_0014,ngrok,v2,0.948,200,True,2024-04-21T19:24:26Z
EP_0100,CUST_0026,https_private,v1,0.207,200,False,2024-05-01T19:09:41Z
EP_0101,CUST_0039,webhook_site,v1,0.754,30,True,2024-01-24T12:09:26Z
EP_0102,CUST_0069,http_internal,v1,0.619,60,True,2024-04-08T05:56:53Z
EP_0103,CUST_0063,ngrok,v3,0.288,20,False,2024-05-03T10:02:28Z
EP_0104,CUST_0056,http_internal,v3,0.708,100,True,2024-05-06T07:21:04Z
EP_0105,CUST_0062,http_internal,v2,0.887,20,True,2024-04-25T01:07:54Z
EP_0106,CUST_0012,ngrok,v3,0.666,100,True,2024-05-25T17:28:22Z
EP_0107,CUST_0049,https_private,v2,0.692,20,True,2024-03-04T02:40:32Z
EP_0108,CUST_0046,webhook_site,v3,0.601,30,True,2024-06-19T22:35:18Z
EP_0109,CUST_0072,https_private,v3,0.284,60,False,2024-01-17T14:59:07Z
EP_0110,CUST_0063,ngrok,v2,0.542,10,True,2024-04-02T10:45:16Z
EP_0111,CUST_0012,http_internal,v3,0.639,100,True,2024-02-17T05:53:03Z
EP_0112,CUST_0048,webhook_site,v2,0.713,30,True,2024-03-23T14:59:29Z
EP_0113,CUST_0059,https_private,v2,0.548,10,True,2024-01-24T10:17:49Z
EP_0114,CUST_0069,https_private,v3,0.807,60,True,2024-02-07T04:38:44Z
EP_0115,CUST_0036,webhook_site,v2,0.976,10,True,2024-04-11T20:59:06Z
EP_0116,CUST_0025,https_public,v3,0.613,100,True,2024-02-28T16:40:08Z
EP_0117,CUST_0017,http_internal,v3,0.975,20,True,2024-04-17T10:50:22Z
EP_0118,CUST_0063,ngrok,v2,0.004,60,False,2024-02-25T05:07:02Z
EP_0119,CUST_0044,ngrok,v1,0.43,10,True,2024-06-16T07:55:12Z
EP_0120,CUST_0052,https_public,v1,0.74,20,True,2024-05-13T07:05:37Z
EP_0121,CUST_0073,https_public,v3,0.45,60,True,2024-02-18T04:39:13Z
EP_0122,CUST_0078,webhook_site,v2,0.765,60,True,2024-05-30T14:59:38Z
EP_0123,CUST_0057,http_internal,v3,0.747,100,True,2024-03-24T06:29:30Z
EP_0124,CUST_0008,https_private,v3,0.837,20,True,2024-05-28T02:36:45Z
EP_0125,CUST_0034,webhook_site,v1,0.493,20,True,2024-02-03T18:01:47Z
EP_0126,CUST_0001,http_internal,v1,0.807,20,True,2024-04-01T05:57:03Z
EP_0127,CUST_0037,https_public,v3,0.815,20,True,2024-03-29T03:56:21Z
EP_0128,CUST_0034,https_private,v2,0.769,10,True,2024-05-08T09:20:10Z
EP_0129,CUST_0070,https_private,v1,0.488,10,True,2024-02-21T13:56:13Z
EP_0130,CUST_0022,webhook_site,v2,0.751,60,True,2024-06-09T01:14:17Z
EP_0131,CUST_0016,http_internal,v3,0.579,100,True,2024-03-19T03:49:32Z
EP_0132,CUST_0064,ngrok,v3,0.753,30,True,2024-06-21T17:00:39Z
EP_0133,CUST_0078,webhook_site,v3,0.454,10,True,2024-05-10T22:27:29Z
EP_0134,CUST_0035,ngrok,v3,0.85,200,True,2024-02-04T00:26:52Z
EP_0135,CUST_0057,ngrok,v3,0.507,60,True,2024-04-23T15:50:01Z
EP_0136,CUST_0012,https_public,v1,0.641,30,True,2024-03-03T08:14:23Z
EP_0137,CUST_0053,webhook_site,v1,0.57,60,True,2024-03-18T18:14:33Z
EP_0138,CUST_0012,ngrok,v3,0.591,10,True,2024-05-30T00:20:03Z
EP_0139,CUST_0070,http_internal,v3,0.432,60,True,2024-04-10T16:06:09Z
EP_0140,CUST_0057,https_private,v2,0.52,60,True,2024-04-16T15:32:56Z
EP_0141,CUST_0063,https_private,v3,0.974,20,True,2024-04-28T05:32:51Z
EP_0142,CUST_0040,https_private,v1,0.726,60,True,2024-01-19T02:23:10Z
EP_0143,CUST_0016,http_internal,v3,0.491,200,True,2024-05-19T03:36:48Z
EP_0144,CUST_0035,https_private,v2,0.685,100,True,2024-04-01T16:42:13Z
EP_0145,CUST_0019,https_private,v1,0.944,30,True,2024-04-08T16:34:27Z
EP_0146,CUST_0054,https_public,v2,0.865,200,True,2024-02-21T21:06:53Z
EP_0147,CUST_0039,ngrok,v1,0.742,60,True,2024-05-08T03:32:48Z
EP_0148,CUST_0069,webhook_site,v2,0.596,60,True,2024-05-28T03:14:39Z
EP_0149,CUST_0042,webhook_site,v2,0.979,20,True,2024-02-16T08:54:52Z
EP_0150,CUST_0053,ngrok,v2,0.223,200,False,2024-05-16T22:36:00Z
EP_0151,CUST_0020,webhook_site,v2,0.422,10,True,2024-04-07T12:50:47Z
EP_0152,CUST_0057,https_private,v2,0.273,200,False,2024-01-03T23:31:29Z
EP_0153,CUST_0020,http_internal,v3,0.234,200,False,2024-02-21T11:05:44Z
EP_0154,CUST_0051,webhook_site,v2,0.903,30,True,2024-06-14T12:11:54Z
EP_0155,CUST_0063,https_private,v3,0.421,200,True,2024-01-14T06:51:49Z
EP_0156,CUST_0037,https_public,v3,0.841,200,True,2024-03-25T06:27:13Z
EP_0157,CUST_0013,https_public,v1,0.809,30,True,2024-06-24T10:15:40Z
EP_0158,CUST_0008,https_private,v3,0.621,60,True,2024-01-29T06:24:15Z
EP_0159,CUST_0073,https_public,v3,0.506,60,True,2024-02-03T23:52:56Z
EP_0160,CUST_0080,https_private,v1,0.694,60,True,2024-04-23T05:42:33Z
EP_0161,CUST_0033,ngrok,v2,0.793,200,True,2024-06-23T13:13:02Z
EP_0162,CUST_0070,webhook_site,v2,0.661,200,True,2024-03-08T02:27:09Z
EP_0163,CUST_0055,https_private,v2,0.67,60,True,2024-02-28T15:59:20Z
EP_0164,CUST_0014,http_internal,v3,0.737,30,True,2024-04-21T14:49:03Z
EP_0165,CUST_0003,https_public,v3,0.788,200,True,2024-02-23T07:10:16Z
EP_0166,CUST_0007,http_internal,v1,0.84,100,True,2024-06-10T17:18:38Z
EP_0167,CUST_0046,https_private,v3,0.512,10,True,2024-02-18T16:00:19Z
EP_0168,CUST_0006,http_internal,v3,0.66,20,True,2024-04-22T13:00:34Z
EP_0169,CUST_0012,https_private,v1,0.593,20,True,2024-03-21T16:23:05Z
EP_0170,CUST_0070,http_internal,v1,0.616,30,True,2024-04-07T10:31:59Z
EP_0171,CUST_0062,http_internal,v1,0.574,60,True,2024-06-18T00:20:37Z
EP_0172,CUST_0010,ngrok,v3,0.97,30,True,2024-06-16T00:32:44Z
EP_0173,CUST_0012,https_public,v2,0.408,30,True,2024-04-14T04:36:29Z
EP_0174,CUST_0034,https_public,v3,0.885,20,True,2024-03-13T03:11:33Z
EP_0175,CUST_0061,http_internal,v3,0.265,20,False,2024-04-19T00:20:52Z
EP_0176,CUST_0009,http_internal,v3,0.674,60,True,2024-05-16T03:15:23Z
EP_0177,CUST_0015,ngrok,v1,0.958,10,True,2024-02-29T02:26:30Z
EP_0178,CUST_0031,http_internal,v3,0.48,200,True,2024-03-29T02:07:59Z
EP_0179,CUST_0070,ngrok,v3,0.838,10,True,2024-01-31T00:07:44Z
EP_0180,CUST_0063,https_public,v3,0.954,30,True,2024-02-24T07:41:00Z
EP_0181,CUST_0028,http_internal,v1,0.961,200,True,2024-06-15T02:41:12Z
EP_0182,CUST_0048,https_public,v2,0.977,30,True,2024-03-10T15:32:28Z
EP_0183,CUST_0025,ngrok,v1,0.96,200,True,2024-06-09T01:00:31Z
EP_0184,CUST_0028,https_public,v2,0.752,20,True,2024-01-05T03:31:58Z
EP_0185,CUST_0017,webhook_site,v1,0.521,100,True,2024-06-10T03:13:53Z
EP_0186,CUST_0028,https_private,v3,0.537,10,True,2024-05-30T08:49:08Z
EP_0187,CUST_0036,webhook_site,v2,0.485,20,True,2024-01-26T05:48:26Z
EP_0188,CUST_0015,http_internal,v1,0.415,100,True,2024-01-03T21:15:14Z
EP_0189,CUST_0042,ngrok,v3,0.08,10,False,2024-01-25T14:44:15Z
EP_0190,CUST_0009,webhook_site,v1,0.859,60,True,2024-04-09T15:51:44Z
EP_0191,CUST_0065,webhook_site,v2,0.763,60,True,2024-05-21T05:11:52Z
EP_0192,CUST_0004,ngrok,v3,0.144,10,False,2024-03-18T23:40:19Z
EP_0193,CUST_0063,https_public,v2,0.662,100,True,2024-06-23T14:53:12Z
EP_0194,CUST_0019,webhook_site,v3,0.083,200,False,2024-05-02T22:21:04Z
EP_0195,CUST_0042,ngrok,v3,0.752,100,True,2024-02-27T06:19:23Z
EP_0196,CUST_0056,webhook_site,v3,0.211,20,False,2024-06-14T14:18:07Z
EP_0197,CUST_0056,ngrok,v2,0.535,60,True,2024-03-06T19:32:08Z
EP_0198,CUST_0013,http_internal,v1,0.584,200,True,2024-02-19T11:52:21Z
EP_0199,CUST_0061,ngrok,v1,0.25,200,False,2024-01-19T02:29:01Z
EP_0200,CUST_0048,webhook_site,v3,0.728,30,True,2024-04-23T21:07:31Z
